tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1863703078911807599',RT @RTEOne: 'I feel like I'm being forced out of Ireland - I'm just so angry and frustrated' - Teacher says she will probably emigrate after election result @rtenews | #RTÉUpfront https://t.co/aUJrs3fUUQ,en,Retweet,82,923,152,71,80992,2024-12-02 21:53:34,"<a href=""http://grabyo.com"" rel=""nofollow"">Grabyo</a>",#RTÉUpfront,,video,https://video.twimg.com/amplify_video/1863703008300666880/vid/avc1/1920x1080/CEQKAyVZ1rkpWIfs.mp4?tag=16
'1863694705319411879',"RT @Andy66202501: 🇮🇪🩸I have said it a thousand times. Corrupt government are flooding the country with illegals and known criminals to create a CRIME CRISIS. Creating fear, chaos and divide in society. They do this on purpose to try create an excuse to enforce communist Chinas tyrannical social credit system connected to digital IDs and facial recognition cameras etc. turning society into a physical and digital prison under the guise of “Safety”",en,Retweet,0,66,17,3,997,2024-12-02 21:20:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1863701698717307317',https://t.co/gUlqQdgFwj,zxx,Tweet,0,0,0,0,15,2024-12-02 21:48:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1863701632698994688/pu/vid/avc1/720x1216/teEu9D4SOZIYT9X8.mp4?tag=12
'1863694281593999824',"Psalm 100:3
""Know that the Lord is God. It is he who made us, and we are his; we are his people, the sheep of his pasture.""

The beginning always reminds me of my son. https://t.co/iuCWs0ZF26",en,Tweet,0,0,0,0,15,2024-12-02 21:18:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1863693180647952384/pu/vid/avc1/960x720/dQQROHudEpu-8EXr.mp4?tag=12
'1863685465204789271',"Jeremiah 29:11
""For I know the plans I have for you, declares the Lord, plans to prosper you and not to harm you, plans to give you hope and a future."" https://t.co/H7EPMNSGtL",en,Tweet,0,0,0,0,3,2024-12-02 20:43:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1863685418148864000/pu/vid/avc1/480x360/r5DOyTKPVGvVdjdY.mp4?tag=12
'1863673925684576318',https://t.co/RoziSJhWZo,zxx,Tweet,0,0,0,0,1,2024-12-02 19:57:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1863673811733737472/pu/vid/avc1/1280x720/lrNK6gir0_64we-9.mp4?tag=12
'1863671400675872991',https://t.co/LTnFPwbH6F,zxx,Tweet,0,0,0,0,12,2024-12-02 19:47:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1863671212552986624/pu/vid/avc1/1440x720/foRdZGt6TQvSCt92.mp4?tag=12
'1863655516888580471',@MattBellamy @CBS Caretaker sounds just like this guy https://t.co/qtcNcckc52,en,Reply,0,0,0,0,,2024-12-02 18:44:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1863655438538960896/pu/vid/avc1/720x720/GUHblCjotbspQXti.mp4?tag=12
'1863652202423677349',https://t.co/Q7MfyttIfM,zxx,Tweet,0,0,0,0,2,2024-12-02 18:31:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/Gd0FiJoXQAAk6My.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1863651950115323906/pu/img/O9jbWLMBv64S9hil.jpg"
'1863615178903781579',sionnachuighim https://t.co/WmU0NsiLBj,fr,Tweet,0,0,0,0,1,2024-12-02 16:04:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1863615161740722176/pu/vid/avc1/1280x720/ddn58-kHmGQYc910.mp4?tag=12
'1863349973800059084',https://t.co/b6lHbj6s7K,zxx,Tweet,0,0,0,0,6,2024-12-01 22:30:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,"https://video.twimg.com/ext_tw_video/1863349758409965568/pu/vid/avc1/1280x720/tOWOvkXRokyHmFXs.mp4?tag=12,https://video.twimg.com/ext_tw_video/1863349786440613888/pu/vid/avc1/1280x720/U2TzhdL9oQO1J8T1.mp4?tag=12"
'1863344932540326021',"James 4:1
""What causes fights and quarrels among you? Don’t they come from your desires that battle within you?"" https://t.co/mmkX2ilrJw",en,Tweet,0,0,0,0,2,2024-12-01 22:10:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,"https://video.twimg.com/ext_tw_video/1863344618307256320/pu/vid/avc1/1280x720/5GXUtmDyF5fg_bmW.mp4?tag=12,https://video.twimg.com/ext_tw_video/1863344660199931904/pu/vid/avc1/1280x720/h2L2O0dcKX9LDSj1.mp4?tag=12,https://video.twimg.com/ext_tw_video/1863344717284425728/pu/vid/avc1/960x720/7jxXZ7VVso_qux0A.mp4?tag=12"
'1863332563676262862',"1 Corinthians 13:13
""And now these three remain: faith, hope, and love. But the greatest of these is love.""

Romans 13:10
""Love does no harm to a neighbor. Therefore love is the fulfillment of the law.""

1 John 4:8 
""Whoever does not love does not know God, because God is love.""",en,Tweet,0,0,0,0,9,2024-12-01 21:21:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1863329266915487904',"Psalm 27:2
""When the wicked advance against me to devour me, it is my enemies and my foes who will stumble and fall.""

Nov 2023 https://t.co/OcoyesP4rf",en,Tweet,0,1,0,0,11,2024-12-01 21:08:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,"https://video.twimg.com/ext_tw_video/1863327919914782721/pu/vid/avc1/1280x720/t6J4qBE2UV0GvGh2.mp4?tag=12,https://video.twimg.com/ext_tw_video/1863327959982960640/pu/vid/avc1/720x720/Ig-NqO5VHoSo787d.mp4?tag=12,"
'1863172564584976463',RT @AnomiePhoenix: @iluminatibot Someone needs to plan on overthrowing Klaus Schwab while we are all being distracted.,en,Retweet,0,14,2,0,526,2024-12-01 10:45:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1863036550260421075',RT @iluminatibot: The elite hate you plain and simple - your usefulness has come to an end. They no longer need to make sure you are healthy and happy because robots and AI will replace you.,en,Retweet,63,1223,303,99,58466,2024-12-01 01:45:01,"<a href=""https://google.com"" rel=""nofollow"">illuminatibot</a>",,,,
'1862794346216485056',"RT @TheMonologist: Remembering SHANE MacGOWAN - who left us a year ago today.

THE POGUES 

FAIRYTALE OF NEW YORK (1987)

 https://t.co/4JVOnhXAIt",en,Retweet,198,1549,360,24,73483,2024-11-30 09:42:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1730197569207197696/vid/avc1/1280x720/flhSikmXORfSH0yW.mp4?tag=14
'1862794797016105452',"RT @TheMonologist: Remembering SHANE MacGOWAN - who left us a year ago today.

THE POGUES &amp; THE DUBLINERS

THE IRISH ROVER https://t.co/ItVH4fPKXO",en,Retweet,197,1816,353,29,81352,2024-11-30 09:44:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/ext_tw_video/1730212335690588160/pu/vid/avc1/1280x720/WCaCpDt5ydZ9sKUo.mp4?tag=12
'1862995311586660755',"Charles Caleb:
""Imitation is the sincerest form of flattery."" https://t.co/EQHxsHPEsn",en,Tweet,0,0,0,0,17,2024-11-30 23:01:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GdqwUQlWYAEBxFi.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1862995293756600320/pu/img/g4ewwUPGi4JBKjlq.jpg"
'1862977920211263887',Henri Against The Machine 🇮🇪 https://t.co/xPHmYq5naV,en,Tweet,0,0,0,0,10,2024-11-30 21:52:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,"https://video.twimg.com/ext_tw_video/1862977784458477568/pu/vid/avc1/720x720/loqR6QyB7ZZg-BfU.mp4?tag=12,https://video.twimg.com/ext_tw_video/1862977831912742912/pu/vid/avc1/1280x720/Zk6D-kH7OoYdVxXX.mp4?tag=12"
'1862967932600332492',"Jeremiah 9:1
""Oh, that my head were a spring of water and my eyes a fountain of tears! I would weep day and night for the slain of my people.""

I fucking love this song! https://t.co/hVE8TFZ0fP",en,Tweet,0,0,0,0,26,2024-11-30 21:12:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1862967744565506048/pu/vid/avc1/1280x720/jpMCjFqOZ7PF10JC.mp4?tag=12
'1862492825855701489',RT @broseph_stalin: Fontaines DC acceptance speech for winning The Album Award: “Free Palestine fuck Netanyahu and Fuck Zionism” https://t.co/uKOTZcotX0,en,Retweet,2542,48496,10183,421,3236735,2024-11-29 13:44:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1862492759321403392/vid/avc1/576x1024/mD_Jgbd2opdxS79r.mp4?tag=16
'1862627045877903635',"RT @MichaelJackByrn: Irish people being interviewed for the Exit Poll. 

#GeneralElection #GE24 #exitpoll #GeneralElection2024 https://t.co/0FBNNVnWSd",en,Retweet,73,3895,421,33,227934,2024-11-29 22:37:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#GeneralElection,#GE24,#exitpoll,#GeneralElection2024",,photo,https://pbs.twimg.com/media/GdlhZd9XYAA7drT.jpg
'1862644260668850247',"@iluminatibot The one I'm living 
https://t.co/ktVCs41VGY",en,Reply,0,0,0,0,44,2024-11-29 23:46:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://x.com/SimonClynes/status/1862639347985727846,,
'1862618971624603750',"Matthew 12:37  
""For by your words you will be acquitted, and by your words you will be condemned."" https://t.co/eOYC9YF9VT",en,Tweet,0,1,0,0,13,2024-11-29 22:05:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,"https://video.twimg.com/ext_tw_video/1862618622943690752/pu/vid/avc1/948x720/IJ8wADoxzWo27f4w.mp4?tag=12,https://video.twimg.com/ext_tw_video/1862618641667084288/pu/vid/avc1/1280x720/V5SSndNbTeoGlIi-.mp4?tag=12"
'1862570929928241274',I had the same experience with a relative. He was an awful shit but in the end I still loved him.,en,Tweet,0,1,0,0,82,2024-11-29 18:54:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1862484198021362022',"RT @HeineKapp: “Hear, you deaf; look, you blind, and see!
Isaiah 42:18",en,Retweet,29,1147,133,13,8951,2024-11-29 13:10:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1862536937124347960',"RT @Mick_O_Keeffe: The Irish just want to be left alone. 

No DEI, no Marxism, no open borders, no fecken nonsense!

Just leave us alone to have the craic like we did 20 years ago. https://t.co/yLO9FS7bM7",en,Retweet,289,11105,1884,378,164463,2024-11-29 16:39:44,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,video,https://video.twimg.com/ext_tw_video/1862536695612133377/pu/vid/avc1/1280x720/DVubmrnL6S1TsBsg.mp4?tag=12
'1862537765134410060',"Galatians 5:4-5 (NIV)
""You who are trying to be justified by the law have been alienated from Christ; you have fallen away from grace. For through the Spirit we eagerly await by faith the righteousness for which we hope.""

James 1:12 (NIV)
""Blessed is the one who perseveres under trial because, having stood the test, that person will receive the crown of life that the Lord has promised to those who love him.""",en,Tweet,0,0,0,0,11,2024-11-29 16:43:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,"https://video.twimg.com/ext_tw_video/1862536934699966464/pu/vid/avc1/960x720/KSbGauRHq3Njrxno.mp4?tag=12,https://video.twimg.com/ext_tw_video/1862537139205902336/pu/vid/avc1/1280x720/h3Qhhkj1x1BzUq7u.mp4?tag=12"
'1862204563865964786',RT @Holy__Bible1: Luke 6:37 https://t.co/qcHGLKwO0V,en,Retweet,293,4407,622,32,114399,2024-11-28 18:39:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,https://pbs.twimg.com/media/GdfhLoDWoAEpfxM.jpg
'1862043761053708493',"RT @Lady_FanAccount: Nirvana - All Apologies #grunge #90s 

https://t.co/JXkNUSBuQN",ca,Retweet,13,197,56,6,7263,2024-11-28 08:00:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#grunge,#90s",,video,https://video.twimg.com/ext_tw_video/1862017902255251456/pu/vid/avc1/720x720/-Qxy4D2bmilsR6ob.mp4?tag=12
'1862163123643281894',RT @litteralyme0: https://t.co/VQC4m9vHsB,zxx,Retweet,1680,11332,1029,42,158992,2024-11-28 15:54:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1862163000548859904/vid/avc1/1080x1080/_NfRZvOnh_phOEp8.mp4?tag=16
'1862139788087656663',"Joshua 1:9:

“Have I not commanded you? Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.”",en,Tweet,0,0,0,0,56,2024-11-28 14:21:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1861849298691883156',RT @salzer_ryan: The Holy Spirit has brought you so far. He will guide and protect you the rest of the way.,en,Retweet,24,1025,123,30,12348,2024-11-27 19:07:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1862135241323757732',"Colossians 3:13 
""Bear with each other and forgive one another if any of you has a grievance against someone. Forgive as the Lord forgave you.""",en,Tweet,0,0,0,0,18,2024-11-28 14:03:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1862129764108059083',"Psalm 118:8
""It is better to take refuge in the Lord than to trust in humans.""",en,Tweet,0,1,0,0,20,2024-11-28 13:41:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1861815239940931718',"RT @Flashyasf: I got left for dead plenty of times , I just don’t die",en,Retweet,499,5209,2613,31,234941,2024-11-27 16:51:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1846523311771013313',https://t.co/sWqrY9UBwg,zxx,Tweet,0,3,0,1,1114,2024-10-16 13:07:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GaArJbPXQAAFPBC.jpg
'1861930515135082938',"I will always regret not seeing you those last 4 years despite living only a mile away.

Nothing was making sense, I was trying to figure things out.
Love you❤️ https://t.co/NNQhgHkXiK",en,Reply,0,0,0,0,11,2024-11-28 00:30:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1861930217238896640/pu/vid/avc1/1280x720/KZdAbkC7sskUTwJy.mp4?tag=12
'1861918245340496152',"@LeonidasOfFL I've been there. It gets easier, the pain does fade over time. 🙏",en,Reply,0,1,0,0,47,2024-11-27 23:41:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1861915733350830365',@litteralyme0 @Jacksepticeye Wow I was about to reply with @litteralyme0 😂,en,Reply,0,0,0,0,356,2024-11-27 23:31:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1861830716448759906',"@TheLiberal_ie You can’t simply move millions of people from one place to another and expect to fix existing issues. Our leaders are not completely stupid, they know what they are doing; the EU is intentionally on a path of self-destruction.",en,Reply,0,3,0,0,57,2024-11-27 17:53:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1861782353275769197',RT @itsjamesmccrae: https://t.co/hH67FTZuoZ,zxx,Retweet,2233,14951,2312,129,497397,2024-11-27 14:41:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GdZhLhjWMAAyqM5.jpg
'1861791258810683569',@litteralyme0 Or present,en,Reply,0,0,0,0,171,2024-11-27 15:16:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
